Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	ZscoreP	ldsr_FDR	ldsr_FDR_log10
Thal-Endo	0.0887911226659111	0.1638822782116699	0.01106782979672096	1.845705666188045	0.12465018421227995	2.9439057014109857e-10	1.2608077231607944e-8	1.2964586677273556e-8	0.9725012871956376	0.16540061241465376	0.7432934774269857	0.128839678215343
Thal-ExN-1	0.13138904699572684	0.15513413446765356	0.00941357698508168	1.1807234926721022	0.07164658851196204	0.01287301054632654	-1.5657229667536064e-8	8.015617392939159e-9	-1.9533404477773963	0.9746103661507279	0.9994180079644611	0
Thal-ExN-2	0.07450598113554763	0.08026867736687736	0.00611546659289128	1.077345417689967	0.08208021020172203	0.34618249551161706	-1.5726718758093907e-8	8.616662146830498e-9	-1.8251520705008413	0.9660109578481799	0.9994180079644611	0
Thal-ExN-3	0.07367476693710065	0.12012796102797496	0.00852144063536175	1.6305170144689214	0.11566294661830248	1.9913681062068186e-7	-1.9320806995947016e-8	1.2875414212055189e-8	-1.500596926649322	0.9332700766288703	0.9994180079644611	0
Thal-InN-1	0.09860515379643456	0.11423151376523098	0.00747305730480441	1.1584740692262017	0.07578769483218056	0.03613280157294237	-5.3727322061074155e-9	7.790833932883535e-9	-0.6896222217534632	0.7547841054054023	0.9994180079644611	0
Thal-InN-2	0.10225243111280875	0.11689445584924432	0.00777575145214901	1.1431948813058723	0.07604466091931363	0.05971688319757139	-7.8092571084409e-9	7.581498408294645e-9	-1.030041383362565	0.848504710249434	0.9994180079644611	0
Thal-InN-3	0.10447867604269571	0.1146508111993857	0.00773299356121471	1.097360873452618	0.07401504167275809	0.18774056670052008	-1.2122130124725333e-8	7.502889336556674e-9	-1.615661591283523	0.9469162502443667	0.9994180079644611	0
Thal-InN-4	0.08956815277029181	0.09991829934488047	0.00688377174446097	1.1155561017444766	0.07685512686764041	0.13415483925930902	-1.2936908087306011e-8	7.71915164882971e-9	-1.6759494664504169	0.9531259543592403	0.9994180079644611	0
Thal-InN-5	0.09245299445963444	0.11321190868792616	0.00754691054426454	1.224534795758889	0.08162970370375158	0.00548005224126846	-5.124981192712829e-9	8.211128891668431e-9	-0.6241506204966509	0.7337356637867899	0.9994180079644611	0
Thal-InN-6	0.12384454096929808	0.1220582134690826	0.00793202950716207	0.9855760497294884	0.06404827734093245	0.8218123514073709	-1.0618005097896976e-8	6.873973371853325e-9	-1.5446677668805406	0.9387866773402173	0.9994180079644611	0
Thal-InN-7	0.11136525632012163	0.1291417251675735	0.00797455520247149	1.1596231125832732	0.07160720915999584	0.0283891504105732	-1.26346662439123e-8	7.556750870502749e-9	-1.671970726629462	0.9527349526727223	0.9994180079644611	0
Thal-InN-8	0.07669565599575519	0.097613469203116	0.0071797220830734	1.2727379137159809	0.09361315174709206	0.00371015116520488	-6.572469733509733e-10	9.597331233190287e-9	-0.0684822642234153	0.5272991309864523	0.9994180079644611	0
Thal-IP	0.08729024003553672	0.11569642359992738	0.00790766366502893	1.3254222184842912	0.09059046763772952	4.2908981207124e-4	-6.6329654043420525e-9	9.01553350572772e-9	-0.7357263327930642	0.7690513695618237	0.9994180079644611	0
Thal-MG	0.07585286686699684	0.11288801685994998	0.01279442344391068	1.4882498384390916	0.16867422382788633	0.00445592967883604	-2.2956971450653393e-8	1.6574181419381707e-8	-1.3851043903626945	0.9169897251755332	0.9994180079644611	0
Thal-OPC	0.11128674809714018	0.15982748248583645	0.01363318797353414	1.436177129969922	0.12250504401147548	5.1035489091964e-4	2.1452646221661643e-8	1.1419734723079024e-8	1.8785590683036033	0.030152362267909672	0.3968570783478077	0.4013658692074599
Thal-RG-1	0.10407959257587324	0.1688010628009021	0.0141289985802837	1.6218459221758326	0.1357518628830505	7.952642973237006e-6	2.6090007589635413e-8	1.2521751405474767e-8	2.083574952480555	0.018599423668107195	0.3968570783478077	0.4013658692074599
Thal-RG-2	0.10247285804656445	0.15514072066549678	0.0094277255588149	1.5139689047708582	0.09200217246337436	6.866854231873104e-8	6.5687753245694474e-9	9.423118806913083e-9	0.6970914257974117	0.24287278986606736	0.8551173232293743	0.06797429540567708
Thal-RG-3	0.09436839379724649	0.14781874480822324	0.01448118310325078	1.5664009830009036	0.1534537414546238	3.2187906427778e-4	1.2613733948773488e-8	1.3762651258583997e-8	0.9165191874571472	0.1796973242131174	0.7432934774269857	0.128839678215343
Thal-RG-4	0.110492439473599	0.1968876450767179	0.01639762123036741	1.7819105634260353	0.1484049162864709	6.97648847022574e-7	2.6555271363239848e-8	1.3927112288491189e-8	1.9067320499156215	0.02827764722801888	0.3968570783478077	0.4013658692074599
Thal-RG-5	0.060850582915168	0.08615384943138857	0.00648888602181679	1.415826197614178	0.10663638228187508	1.290600398167e-4	-6.256054835999597e-10	1.1220315866930568e-8	-0.05575649482772544	0.5222321034527615	0.9994180079644611	0
Thal-RG-6	0.11825032682402868	0.13911954419597394	0.00835133402551842	1.176483380067112	0.07062419402820136	0.01297602557375355	-6.972563788233892e-9	7.589203238837375e-9	-0.918747801159434	0.8208862495345182	0.9994180079644611	0
Thal-RG-7	0.09154427855388524	0.14059343690185466	0.00931156400523475	1.5357970931967952	0.10171650432259108	4.802375121039011e-7	1.1535895419779973e-8	9.911553091836222e-9	1.1638837337492205	0.1222355662064707	0.6184399220433794	0.2087024832496151
